label,status,latency_ms,server_processing_ms,error_kind
benign,200,2085.98,,
benign,200,40.63,,
benign,200,34.21,,
benign,200,35.68,,
benign,200,33.97,,
benign,200,40.32,,
benign,200,31.43,,
benign,200,48.15,,
benign,200,45.79,,
benign,200,31.56,,
benign,200,29.95,,
benign,200,44.43,,
benign,200,52.42,,
benign,200,39.66,,
benign,200,31.49,,
benign,200,42.98,,
benign,200,45.94,,
benign,200,40.97,,
benign,200,42.06,,
benign,200,48.49,,
benign,200,71.33,,
benign,200,60.4,,
benign,200,35.31,,
benign,200,40.91,,
benign,200,41.26,,
benign,200,30.27,,
benign,200,29.64,,
benign,200,29.36,,
benign,200,34.61,,
benign,200,30.37,,
sqli,403,241.67,,
sqli,403,238.01,,
sqli,403,232.76,,
sqli,403,233.08,,
sqli,403,233.75,,
sqli,403,238.23,,
sqli,403,237.94,,
sqli,403,252.83,,
sqli,403,251.0,,
sqli,403,242.59,,
sqli,403,245.52,,
sqli,403,234.1,,
xss,403,241.64,,
xss,403,246.38,,
xss,403,251.0,,
xss,403,237.38,,
xss,403,280.2,,
xss,403,245.23,,
xss,403,245.21,,
xss,403,246.51,,
xss,403,244.54,,
xss,403,234.59,,
xss,403,237.63,,
xss,403,278.66,,
misc,403,262.11,,
misc,403,268.33,,
misc,403,260.34,,
misc,403,251.35,,
misc,403,271.86,,
misc,403,254.86,,
misc,403,238.16,,
misc,403,250.55,,
misc,403,242.35,,
misc,403,257.01,,
misc,403,238.42,,
misc,403,240.62,,
burst,200,297.99,,
burst,200,32.45,,
burst,200,31.12,,
burst,200,36.71,,
burst,200,30.81,,
burst,200,30.7,,
burst,200,32.52,,
burst,200,32.7,,
burst,200,35.37,,
burst,200,29.03,,
burst,200,34.97,,
burst,200,29.64,,
burst,200,36.5,,
burst,200,31.02,,
burst,200,35.19,,
burst,200,30.89,,
burst,200,34.34,,
burst,200,32.38,,
burst,200,35.41,,
burst,200,31.91,,
burst,200,34.43,,
burst,200,32.08,,
burst,200,37.0,,
burst,200,31.38,,
burst,200,31.35,,
burst,200,33.62,,
burst,200,39.38,,
burst,200,39.28,,
burst,200,34.34,,
burst,200,29.8,,
burst,200,36.22,,
burst,403,29.03,,
burst,403,23.1,,
burst,403,24.24,,
burst,403,31.58,,
burst,403,22.58,,
burst,403,26.13,,
burst,403,23.38,,
burst,403,26.81,,
burst,403,23.38,,
burst,403,27.31,,
burst,403,29.18,,
burst,403,25.8,,
burst,403,23.24,,
burst,403,23.89,,
burst,403,23.86,,
burst,403,24.85,,
burst,403,25.34,,
burst,403,23.92,,
burst,403,22.39,,
burst,403,23.92,,
burst,403,24.02,,
burst,403,23.41,,
burst,403,24.19,,
burst,403,24.61,,
burst,403,25.0,,
burst,403,33.74,,
burst,403,24.09,,
burst,403,84.74,,
burst,403,23.67,,
